ipsrc;nombre;cnbripdst;cnportdst;permit;inf1024permit;sup1024permit;adminpermit;deny;inf1024deny;sup1024deny;admindeny;risque
195.11.17.10;3;1;1;0;0;0;0;3;3;0;0;positif
195.11.9.140;7;2;4;7;4;3;0;0;0;0;0;negatif
195.11.9.141;6;2;4;6;4;2;0;0;0;0;0;negatif
195.11.9.142;6;2;4;6;4;2;0;0;0;0;0;negatif
195.11.9.143;6;2;4;6;4;2;0;0;0;0;0;negatif
195.11.9.63;6;2;4;6;4;2;0;0;0;0;0;negatif
195.11.9.64;6;2;4;6;4;2;0;0;0;0;0;negatif
156.160.4.175;5114;17;6;5114;252;4862;2;0;0;0;0;negatif
156.160.4.182;327;1;1;327;0;327;0;0;0;0;0;negatif
156.160.4.199;1;1;1;1;0;1;0;0;0;0;0;negatif
156.160.4.27;4;1;1;4;0;4;0;0;0;0;0;negatif
156.160.4.73;5;2;5;5;0;5;0;0;0;0;0;negatif
156.160.4.74;2;1;1;2;2;0;2;0;0;0;0;negatif
156.160.4.77;3;1;3;3;1;2;1;0;0;0;0;negatif
195.18.4.122;298;1;1;298;0;298;0;0;0;0;0;negatif
156.207.101.13;149;2;2;2;0;2;0;147;0;147;0;negatif
156.207.101.68;65;2;2;2;0;2;0;63;0;63;0;positif
156.207.101.69;195;2;2;4;0;4;0;191;0;191;0;positif
156.207.101.75;79;2;2;2;0;2;0;77;0;77;0;positif
156.207.12.253;692;1;1;692;0;692;0;0;0;0;0;negatif
156.207.201.73;98;2;2;2;0;2;0;96;0;96;0;positif
156.207.228.134;265;2;2;2;0;2;0;263;0;263;0;positif
156.207.228.242;335;2;2;2;0;2;0;333;0;333;0;positif
156.207.228.34;2;1;1;2;0;2;0;0;0;0;0;negatif
156.207.228.35;1466;1;1;0;0;0;0;1466;0;1466;0;positif
156.207.230.106;1884;2;2;2;0;2;0;1882;0;1882;0;positif
156.207.230.3;251;2;2;2;0;2;0;249;0;249;0;positif
156.207.230.53;1897;1;1;0;0;0;0;1897;0;1897;0;positif
156.207.230.55;345;2;2;2;0;2;0;343;0;343;0;positif
156.207.230.59;50;1;1;0;0;0;0;50;0;50;0;positif
156.207.230.6;1902;2;2;2;0;2;0;1900;0;1900;0;positif
156.207.230.60;257;2;2;2;0;2;0;255;0;255;0;positif
156.207.230.61;240;2;2;2;0;2;0;238;0;238;0;positif
156.207.230.8;51;2;2;2;0;2;0;49;0;49;0;positif
156.207.64.56;267;2;2;2;0;2;0;265;0;265;0;positif
156.207.76.16;146;2;2;2;0;2;0;144;0;144;0;positif
156.207.96.16;2;1;1;2;0;2;0;0;0;0;0;negatif
195.227.58.137;180;1;1;180;180;0;0;0;0;0;0;negatif
195.227.68.70;33;1;1;33;33;0;0;0;0;0;0;positif
195.243.64.27;15;1;1;0;0;0;0;15;0;15;0;negatif
194.145.18.50;28;19;1;28;0;28;0;0;0;0;0;negatif
194.145.4.35;7;2;4;7;5;2;0;0;0;0;0;negatif
194.145.4.36;6;2;4;6;4;2;0;0;0;0;0;negatif
194.145.4.55;7;2;4;7;5;2;0;0;0;0;0;negatif
194.145.4.56;7;2;4;7;5;2;0;0;0;0;0;negatif
194.145.4.57;7;2;4;7;4;3;0;0;0;0;0;negatif
194.145.4.58;7;2;4;7;4;3;0;0;0;0;0;negatif
194.145.4.64;8;2;4;8;4;4;0;0;0;0;0;negatif
195.249.0.10;109;1;1;109;109;0;0;0;0;0;0;negatif
195.249.3.20;540;1;1;540;540;0;0;0;0;0;0;negatif
156.84.146.10;1272;32;13;1272;812;460;0;0;0;0;0;negatif
156.84.146.104;45;1;2;45;0;45;0;0;0;0;0;negatif
156.84.146.106;285;21;13;285;222;63;0;0;0;0;0;negatif
156.84.146.108;2058;18;13;2058;1763;295;0;0;0;0;0;negatif
156.84.146.11;1058;28;13;1058;672;386;0;0;0;0;0;negatif
156.84.146.113;505;17;12;505;238;267;0;0;0;0;0;negatif
156.84.146.117;5752;25;14;5752;5432;320;2;0;0;0;0;negatif
156.84.146.127;1193;24;16;1193;667;526;4;0;0;0;0;negatif
156.84.146.13;546;24;11;546;288;258;0;0;0;0;0;negatif
156.84.146.132;4431;24;13;4431;3385;1046;0;0;0;0;0;negatif
156.84.146.133;973;22;13;973;670;303;3;0;0;0;0;negatif
156.84.146.14;636;23;11;636;313;323;0;0;0;0;0;negatif
156.84.146.15;431;19;12;431;161;270;0;0;0;0;0;negatif
156.84.146.151;1493;25;13;1493;1382;111;0;0;0;0;0;negatif
156.84.146.152;593;18;13;593;307;286;0;0;0;0;0;negatif
156.84.146.17;85;4;4;85;0;85;0;0;0;0;0;negatif
156.84.146.170;633;14;11;633;307;326;0;0;0;0;0;negatif
156.84.146.18;759;19;10;759;584;175;0;0;0;0;0;negatif
156.84.146.182;728;15;14;728;444;284;0;0;0;0;0;negatif
156.84.146.183;3217;21;17;3217;2874;343;8;0;0;0;0;negatif
156.84.146.186;8819;15;14;8819;5887;2932;0;0;0;0;0;negatif
156.84.146.188;1732;53;17;1732;1037;695;3;0;0;0;0;negatif
156.84.146.189;5503;21;14;5503;4360;1143;1;0;0;0;0;negatif
156.84.146.191;1094;24;14;1094;648;446;1;0;0;0;0;negatif
156.84.146.192;698;19;13;698;391;307;0;0;0;0;0;negatif
156.84.146.193;1368;24;13;1368;1066;302;0;0;0;0;0;negatif
156.84.146.194;1110;26;16;1110;776;334;0;0;0;0;0;negatif
156.84.146.20;431;17;10;431;136;295;0;0;0;0;0;negatif
156.84.146.201;19;3;2;19;0;19;0;0;0;0;0;negatif
156.84.146.205;983;23;12;983;616;367;0;0;0;0;0;negatif
156.84.146.21;443;16;12;443;130;313;0;0;0;0;0;negatif
156.84.146.220;55;4;3;55;10;45;0;0;0;0;0;negatif
156.84.146.23;264;1;1;264;264;0;0;0;0;0;0;negatif
156.84.146.24;1680;5;20;1680;697;983;8;0;0;0;0;negatif
156.84.146.31;2628;25;14;2628;1461;1167;2;0;0;0;0;negatif
156.84.146.32;6959;29;18;6959;581;6378;12;0;0;0;0;negatif
156.84.146.33;909;18;14;909;626;283;0;0;0;0;0;negatif
156.84.146.34;442;21;16;442;246;196;0;0;0;0;0;negatif
156.84.146.35;917;19;13;917;618;299;0;0;0;0;0;negatif
156.84.146.36;686;24;13;686;425;261;0;0;0;0;0;negatif
156.84.146.38;899;23;14;899;535;364;0;0;0;0;0;negatif
156.84.146.42;441;11;9;441;367;74;0;0;0;0;0;negatif
156.84.146.43;721;23;16;721;441;280;0;0;0;0;0;negatif
156.84.146.49;1283;27;14;1283;963;320;4;0;0;0;0;negatif
156.84.146.50;5633;21;13;5633;5312;321;8;0;0;0;0;negatif
156.84.146.56;1901;26;15;1901;882;1019;0;0;0;0;0;negatif
156.84.146.57;2413;18;14;2413;691;1722;1;0;0;0;0;negatif
156.84.146.61;1791;24;14;1791;385;1406;0;0;0;0;0;negatif
156.84.146.62;2176;19;15;2176;554;1622;0;0;0;0;0;negatif
156.84.146.65;592;15;13;592;310;282;0;0;0;0;0;negatif
156.84.146.67;542;14;10;542;246;296;0;0;0;0;0;negatif
156.84.146.68;500;20;13;500;234;266;2;0;0;0;0;negatif
156.84.146.72;1723;27;13;1723;1472;251;0;0;0;0;0;negatif
156.84.146.73;513;11;9;513;207;306;0;0;0;0;0;negatif
156.84.146.74;404;10;9;404;168;236;0;0;0;0;0;negatif
156.84.146.75;915;18;13;915;629;286;0;0;0;0;0;negatif
156.84.146.76;198;5;9;198;116;82;0;0;0;0;0;negatif
156.84.146.78;414;11;9;414;156;258;0;0;0;0;0;negatif
156.84.146.79;1421;18;14;1421;513;908;0;0;0;0;0;negatif
156.84.146.80;2220;22;15;2220;800;1420;0;0;0;0;0;negatif
156.84.146.85;611;15;12;611;332;279;0;0;0;0;0;negatif
156.84.146.86;522;11;13;522;414;108;0;0;0;0;0;negatif
156.84.146.87;1404;24;18;1404;1126;278;2;0;0;0;0;negatif
156.84.146.89;255;16;12;255;184;71;0;0;0;0;0;negatif
156.84.146.91;594;12;13;594;255;339;0;0;0;0;0;negatif
156.84.146.93;969;23;13;969;799;170;0;0;0;0;0;negatif
156.84.146.97;728;15;13;728;466;262;0;0;0;0;0;negatif
156.84.146.98;398;7;8;398;140;258;0;0;0;0;0;negatif
156.84.146.99;1223;21;13;1223;922;301;0;0;0;0;0;negatif
195.250.15.69;392;12;11;392;86;306;0;0;0;0;0;negatif
156.84.20.10;76;5;4;66;34;32;0;10;0;10;0;positif
156.84.20.100;541;15;15;541;275;266;2;0;0;0;0;negatif
156.84.20.110;480;15;11;480;120;360;2;0;0;0;0;negatif
156.84.20.200;25;4;3;25;9;16;0;0;0;0;0;negatif
156.84.20.253;4;1;1;4;4;0;4;0;0;0;0;negatif
156.84.300.17;2576;14;13;2576;165;2411;0;0;0;0;0;negatif
156.84.300.18;992;23;22;992;422;570;5;0;0;0;0;negatif
156.84.300.19;2770;16;16;2770;377;2393;0;0;0;0;0;negatif
156.84.300.20;2671;14;15;2671;306;2365;0;0;0;0;0;negatif
156.84.300.21;2642;15;15;2642;266;2376;0;0;0;0;0;negatif
156.84.300.33;4259;16;16;4259;509;3750;0;0;0;0;0;negatif
156.84.300.35;2721;14;15;2721;319;2402;0;0;0;0;0;negatif
156.84.300.36;208;13;9;208;146;62;0;0;0;0;0;negatif
156.84.300.37;424;12;10;424;152;272;0;0;0;0;0;negatif
195.54.217.38;12;3;1;0;0;0;0;12;12;0;0;positif
195.6.110.65;3;1;1;0;0;0;0;3;3;0;0;positif
195.8.1.194;5;1;1;5;0;5;0;0;0;0;0;negatif
157.18.237.15;168;1;1;168;0;168;168;0;0;0;0;negatif
157.84.8.12;19;3;2;19;0;19;0;0;0;0;0;negatif
157.84.8.13;17;3;2;17;0;17;0;0;0;0;0;negatif
